from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5812309;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812310;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812311;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812312;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812313;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812314;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812315;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812316;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812317;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812318;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812319;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812320;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812321;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812322;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812323;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812324;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812325;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812353;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812354;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812355;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812356;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812358;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812359;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812360;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812361;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812362;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812363;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812364;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5812365;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
